iter	Passed	Remaining
0	4	443
1	9	461
2	14	456
3	17	417
4	22	422
5	27	425
6	30	407
7	37	426
8	43	438
9	48	437
10	53	431
11	56	417
12	61	412
13	68	421
14	73	418
15	81	429
16	86	424
17	95	433
18	100	429
19	107	428
20	113	425
21	118	418
22	122	410
23	127	404
24	134	402
25	141	401
26	146	395
27	151	390
28	157	386
29	163	380
30	169	377
31	175	372
32	184	374
33	190	369
34	196	365
35	201	358
36	206	351
37	214	350
38	219	344
39	227	340
40	233	335
41	235	325
42	242	320
43	247	314
44	253	309
45	258	303
46	264	298
47	271	293
48	276	287
49	281	281
50	289	278
51	298	275
52	306	271
53	313	267
54	318	260
55	324	254
56	332	250
57	339	246
58	344	239
59	349	232
60	356	227
61	362	221
62	368	216
63	376	211
64	382	206
65	389	200
66	396	195
67	404	190
68	410	184
69	415	178
70	420	171
71	425	165
72	432	159
73	439	154
74	445	148
75	452	142
76	460	137
77	466	131
78	473	125
79	478	119
80	484	113
81	489	107
82	494	101
83	502	95
84	508	89
85	513	83
86	518	77
87	524	71
88	531	65
89	535	59
90	540	53
91	545	47
92	549	41
93	554	35
94	556	29
95	560	23
96	565	17
97	568	11
98	572	5
99	577	0
